codigo_da_proposta,nome_do_negocio,etapa_do_negocio,data_de_fechamento,proprietario_do_negocio,valor,numero_de_atividades_de_vendas,e_negocio_perdido,data_da_ultima_modificacao,qtd_do_negocio
21,Comercial Alfa S.A.,Negócio Perdido,2024-11-20 03:45:06,Eduardo Freitas,3289420.09,3.0,False,2024-11-20 08:41:31,25379
22,Indústria Nova Era ME,Oportunidades,2024-11-12 13:28:53,Beatriz Nogueira,3873980.59,4.0,False,2024-11-20 11:14:20,23857
23,Indústria Globaltech Comércio,Desqualificado,2024-11-18 02:09:55,Carlos Azevedo,3247063.31,0.0,True,2024-11-20 16:09:53,43408
24,Indústria Solaris S.A.,Desqualificado,2024-11-12 13:08:11,Beatriz Nogueira,3111855.31,2.0,False,2024-11-20 17:58:19,46280
25,Grupo Infinity Ltda,Negócio Perdido,2024-11-19 10:43:26,Eduardo Freitas,1313221.06,5.0,True,2024-11-21 02:30:15,118868
26,Distribuidora Infinity EIRELI,Negociações Frias,2024-11-20 03:50:57,Renata Silveira,3432599.68,1.0,False,2024-11-21 04:25:46,117966
27,Grupo Alfa Comércio,Negociações Frias,2024-11-15 06:19:57,Lívia Martins,8412034.27,1.0,True,2024-11-21 10:23:47,21590
28,Indústria Verde Vida ME,Entrada,2024-11-16 22:11:26,Carlos Azevedo,7903878.86,3.0,True,2024-11-21 12:51:09,85372
29,Distribuidora Verde Vida Comércio,Acompanhamento,2024-11-16 22:31:03,Carlos Azevedo,5781997.1,2.0,True,2024-11-21 13:23:41,33596
30,Consultoria Nova Era Ltda,Negociações Frias,2024-11-17 17:16:37,Eduardo Freitas,2250560.83,1.0,True,2024-11-21 15:36:41,97393
31,Grupo Nova Era Ltda,Negociações Frias,2024-11-20 11:03:08,João Pedrosa,6282973.62,3.0,True,2024-11-21 18:55:19,110958
32,Grupo Solaris Comércio,Negócio Perdido,2024-11-19 10:59:14,João Pedrosa,9529403.13,2.0,False,2024-11-22 03:16:22,35464
33,Distribuidora Solaris Comércio,Negócio Perdido,2024-11-20 05:59:12,Marina Costa,2105507.86,0.0,True,2024-11-22 16:55:08,109533
34,Serviços Globaltech EIRELI,Negociações Frias,2024-11-22 09:26:13,Marina Costa,8770308.34,2.0,True,2024-11-23 06:46:19,69004
35,Distribuidora Alfa Comércio,Negociações Frias,2024-11-21 03:34:30,Marina Costa,4840204.11,3.0,True,2024-11-23 10:03:16,82966
36,Serviços Alfa EIRELI,Oportunidades,2024-11-17 05:57:32,Eduardo Freitas,6453829.84,4.0,False,2024-11-23 15:50:42,13257
37,Comercial Nova Era Comércio,Negócio Perdido,2024-11-18 00:41:44,Eduardo Freitas,10730432.17,5.0,True,2024-11-23 16:14:06,33039
38,Serviços Infinity Ltda,Pré Qualificação,2024-11-17 00:43:40,Marina Costa,1197805.73,5.0,True,2024-11-23 23:07:57,16320
39,Consultoria Nova Era Ltda,Pré Qualificação,2024-11-14 20:29:17,Eduardo Freitas,10825169.06,1.0,False,2024-11-23 23:33:27,84908
40,Serviços Nova Era ME,Desqualificado,2024-11-15 09:40:44,Marina Costa,10492967.31,4.0,True,2024-11-23 23:49:16,90422
41,Serviços Globaltech Ltda,Negociações Frias,2024-11-21 15:04:04,Renata Silveira,7187286.55,2.0,False,2024-11-24 02:30:57,110978
42,Consultoria Verde Vida S.A.,Negócio Perdido,2024-11-15 12:42:41,Lívia Martins,6563304.53,2.0,True,2024-11-24 03:48:04,114764
43,Comercial Globaltech Comércio,Desqualificado,2024-11-17 18:42:18,Eduardo Freitas,1113732.0,0.0,False,2024-11-24 04:12:49,19085
44,Consultoria Nova Era Comércio,Negócio Perdido,2024-11-23 10:24:18,Carlos Azevedo,10635693.82,5.0,True,2024-11-24 06:38:56,89634
45,Serviços Verde Vida S.A.,Negociações Frias,2024-11-22 08:30:48,Carlos Azevedo,11320996.55,5.0,False,2024-11-24 07:03:22,18181
46,Serviços Alfa EIRELI,Negociações Frias,2024-11-20 04:16:40,João Pedrosa,2413062.51,2.0,True,2024-11-24 10:17:17,96918
47,Consultoria Globaltech S.A.,Negócio Perdido,2024-11-23 15:34:15,Lívia Martins,2188292.86,4.0,False,2024-11-24 10:53:00,36593
48,Comercial Solaris Ltda,Negociações Frias,2024-11-16 22:43:43,Renata Silveira,11965680.57,3.0,False,2024-11-24 11:36:30,98881
49,Indústria Nova Era ME,Negociações Frias,2024-11-15 08:52:54,João Pedrosa,10293384.91,1.0,True,2024-11-24 20:00:26,88213
50,Indústria Verde Vida Comércio,Negociações Frias,2024-11-14 10:18:17,João Pedrosa,10398676.79,3.0,False,2024-11-25 03:04:27,54509
51,Serviços Infinity Ltda,Negócio Perdido,2024-11-21 17:26:38,Lívia Martins,8351587.38,0.0,False,2024-11-25 05:21:36,112363
52,Consultoria Solaris Ltda,Proposta Enviada,2024-11-23 09:27:47,Renata Silveira,7287085.12,4.0,False,2024-11-25 10:30:55,21092
53,Comercial Alfa ME,Pré Qualificação,2024-11-22 12:17:49,Beatriz Nogueira,10855485.91,4.0,True,2024-11-25 23:50:42,91633
54,Consultoria Globaltech ME,Negociações Frias,2024-11-22 22:07:07,João Pedrosa,2815786.18,1.0,True,2024-11-26 02:32:54,92799
55,Comercial Verde Vida Ltda,Negociações Frias,2024-11-16 23:00:24,João Pedrosa,4007778.55,1.0,True,2024-11-26 04:19:09,18088
56,Indústria Infinity Ltda,Negociações Frias,2024-11-22 08:02:44,Renata Silveira,8412246.07,4.0,False,2024-11-26 06:34:18,55734
57,Comercial Globaltech Ltda,Negociações Frias,2024-11-22 09:40:56,Lívia Martins,3190846.06,1.0,False,2024-11-26 08:10:27,112185
58,Distribuidora Solaris S.A.,Negócio Perdido,2024-11-14 05:30:01,Lívia Martins,1057917.35,5.0,False,2024-11-26 08:32:21,32744
59,Consultoria Verde Vida Comércio,Negociações Frias,2024-11-24 12:58:09,Eduardo Freitas,5895332.74,1.0,False,2024-11-26 13:11:16,53643
60,Distribuidora Verde Vida Ltda,Negociações Frias,2024-11-24 12:14:47,Carlos Azevedo,6332681.31,4.0,False,2024-11-26 15:46:21,88938
61,Grupo Alfa ME,Negociações Frias,2024-11-17 00:35:34,Eduardo Freitas,10100079.71,1.0,False,2024-11-26 16:03:16,10896
62,Consultoria Nova Era EIRELI,Negociações Frias,2024-11-13 15:09:02,Carlos Azevedo,4130327.68,3.0,False,2024-11-27 02:30:30,40515
63,Serviços Solaris ME,Negócio Perdido,2024-11-15 03:43:00,Renata Silveira,8525540.84,4.0,False,2024-11-27 06:07:52,74560
64,Indústria Nova Era Comércio,Negócio Perdido,2024-11-26 20:51:04,Lívia Martins,10464302.13,2.0,True,2024-11-27 07:16:06,47308
65,Indústria Alfa Ltda,Negociações Frias,2024-11-23 13:48:08,João Pedrosa,6541735.93,3.0,False,2024-11-27 08:27:16,28241
66,Consultoria Globaltech S.A.,Negociações Frias,2024-11-18 18:34:00,Eduardo Freitas,1567163.56,2.0,False,2024-11-27 15:00:59,71491
67,Grupo Solaris S.A.,Pré Qualificação,2024-11-18 20:18:20,João Pedrosa,1801061.49,2.0,False,2024-11-27 15:37:37,48932
68,Comercial Nova Era EIRELI,Negociações Frias,2024-11-23 07:42:39,Marina Costa,9979928.79,4.0,True,2024-11-27 16:53:16,55792
69,Consultoria Alfa Comércio,Negociações Frias,2024-11-18 16:49:22,Lívia Martins,5891233.1,3.0,True,2024-11-27 21:39:56,26037
70,Consultoria Nova Era Comércio,Oportunidades,2024-11-25 19:36:41,Eduardo Freitas,3526873.99,5.0,True,2024-11-28 01:40:47,50496
71,Grupo Solaris EIRELI,Negociações Frias,2024-11-20 07:04:48,Carlos Azevedo,7939240.66,1.0,True,2024-11-28 08:00:55,72791
72,Comercial Infinity ME,Entrada,2024-11-21 12:17:21,Marina Costa,8901264.15,3.0,True,2024-11-28 08:29:07,76583
73,Consultoria Globaltech S.A.,Pré Qualificação,2024-11-21 04:50:54,Carlos Azevedo,9507996.92,1.0,False,2024-11-28 13:37:37,23058
74,Indústria Nova Era ME,Negociações Frias,2024-11-14 01:32:19,Marina Costa,9822892.64,3.0,False,2024-11-28 14:02:31,11924
75,Serviços Verde Vida EIRELI,Negociações Frias,2024-11-21 04:59:35,Renata Silveira,8934942.7,0.0,False,2024-11-28 14:54:38,31789
76,Grupo Globaltech Comércio,Acompanhamento,2024-11-21 05:02:01,João Pedrosa,7801595.42,1.0,False,2024-11-28 19:45:27,16860
77,Indústria Infinity ME,Negócio Perdido,2024-11-21 01:17:49,Carlos Azevedo,8961444.22,5.0,True,2024-11-29 09:57:46,111424
78,Indústria Nova Era EIRELI,Negócio Perdido,2024-11-15 10:29:59,Renata Silveira,5320007.74,0.0,False,2024-11-29 10:38:21,90677
79,Serviços Alfa EIRELI,Entrada,2024-11-14 16:50:48,João Pedrosa,5848214.92,4.0,False,2024-11-29 13:48:00,77798
80,Consultoria Globaltech Ltda,Negócio Perdido,2024-11-26 06:50:41,Beatriz Nogueira,4677723.39,3.0,False,2024-11-29 16:54:56,68899
81,Comercial Globaltech Ltda,Desqualificado,2024-11-19 13:39:50,João Pedrosa,8971904.57,2.0,True,2024-11-29 19:46:14,84193
82,Grupo Infinity Ltda,Negócio Perdido,2024-11-19 06:56:07,João Pedrosa,2554722.13,2.0,True,2024-11-29 21:18:57,53511
83,Distribuidora Infinity S.A.,Negociações Frias,2024-11-27 14:49:40,João Pedrosa,3477107.47,4.0,False,2024-11-29 23:19:50,32148
84,Grupo Infinity S.A.,Negociações Frias,2024-11-27 11:22:07,João Pedrosa,6580179.68,0.0,False,2024-11-30 01:37:20,62605
85,Comercial Nova Era S.A.,Desqualificado,2024-11-16 06:23:03,Eduardo Freitas,11745613.55,5.0,True,2024-11-30 03:02:17,15464
86,Consultoria Solaris Comércio,Negociações Frias,2024-11-25 05:36:40,Marina Costa,10389957.33,3.0,False,2024-11-30 04:27:34,43028
87,Consultoria Solaris Ltda,Negociações Frias,2024-11-12 19:56:47,Carlos Azevedo,6534390.81,1.0,False,2024-11-30 06:04:49,26444
88,Indústria Infinity ME,Negócio Perdido,2024-11-28 04:46:31,Carlos Azevedo,6881609.44,4.0,True,2024-11-30 06:43:16,52862
89,Comercial Globaltech Ltda,Negócio Perdido,2024-11-28 22:45:29,Carlos Azevedo,1724102.21,1.0,True,2024-11-30 06:52:02,53288
90,Grupo Infinity Comércio,Oportunidades,2024-11-28 02:02:25,Carlos Azevedo,11240205.73,2.0,False,2024-11-30 07:13:14,42321
91,Consultoria Infinity Comércio,Negociações Frias,2024-11-19 18:27:36,Carlos Azevedo,8200630.61,4.0,False,2024-11-30 10:21:20,91852
92,Distribuidora Solaris Comércio,Proposta Enviada,2024-11-26 23:19:43,Eduardo Freitas,10051548.85,5.0,True,2024-11-30 12:47:55,73503
93,Comercial Nova Era S.A.,Negociações Frias,2024-11-26 11:40:28,João Pedrosa,4323539.38,5.0,False,2024-11-30 13:55:16,42395
94,Indústria Alfa S.A.,Negócio Ganho,2024-11-24 04:53:18,Carlos Azevedo,4950151.91,3.0,False,2024-11-30 14:26:05,74333
95,Distribuidora Globaltech Ltda,Negociações Frias,2024-11-13 06:14:24,Marina Costa,1585141.27,1.0,True,2024-11-30 16:08:43,115307
96,Distribuidora Verde Vida Ltda,Desqualificado,2024-11-18 01:09:55,Eduardo Freitas,11454814.36,4.0,False,2024-11-30 17:52:15,21855
97,Comercial Infinity Comércio,Negociações Frias,2024-11-20 10:22:11,Carlos Azevedo,3140022.78,5.0,True,2024-11-30 18:42:46,14667
98,Serviços Alfa ME,Negociações Frias,2024-11-22 21:02:49,João Pedrosa,6771876.53,2.0,False,2024-12-01 00:47:59,27928
99,Distribuidora Verde Vida ME,Negócio Perdido,2024-11-19 13:56:49,Beatriz Nogueira,5517378.47,1.0,False,2024-12-01 06:18:31,107078
100,Comercial Infinity S.A.,Negócio Perdido,2024-11-16 22:05:41,Eduardo Freitas,5932310.09,3.0,True,2024-12-01 08:20:46,110122
101,Distribuidora Verde Vida EIRELI,Negociações Frias,2024-11-13 01:55:03,Marina Costa,1570095.52,3.0,False,2024-12-01 10:16:13,31901
102,Comercial Infinity ME,Desqualificado,2024-11-14 15:17:50,Lívia Martins,7809564.56,0.0,False,2024-12-01 11:09:53,102752
103,Grupo Globaltech EIRELI,Negócio Perdido,2024-11-15 00:02:55,Carlos Azevedo,3037063.52,2.0,True,2024-12-01 13:34:19,14599
104,Serviços Solaris ME,Negociações Frias,2024-12-01 04:21:17,Beatriz Nogueira,3995524.86,5.0,True,2024-12-01 14:46:08,62993
105,Consultoria Globaltech Comércio,Pré Qualificação,2024-11-25 10:41:04,Eduardo Freitas,11418773.58,0.0,True,2024-12-01 16:32:18,67221
106,Consultoria Infinity Comércio,Negociações Frias,2024-11-20 20:31:03,Eduardo Freitas,2916410.86,2.0,False,2024-12-01 18:32:23,56890
107,Serviços Verde Vida Comércio,Entrada,2024-11-21 03:43:48,João Pedrosa,5000633.98,1.0,False,2024-12-01 18:57:27,59551
108,Grupo Infinity ME,Negociações Frias,2024-11-25 14:42:09,Renata Silveira,1702778.62,3.0,False,2024-12-01 23:21:36,31006
109,Comercial Infinity ME,Negociações Frias,2024-12-01 03:21:41,Renata Silveira,1691255.27,1.0,False,2024-12-02 00:21:42,106347
110,Consultoria Solaris ME,Negociações Frias,2024-11-13 11:21:34,Lívia Martins,2644816.88,4.0,False,2024-12-02 00:31:24,58417
111,Distribuidora Verde Vida Comércio,Negociações Frias,2024-11-27 06:31:35,João Pedrosa,10225300.45,5.0,True,2024-12-02 01:44:30,101927
112,Consultoria Globaltech ME,Negócio Perdido,2024-12-01 10:47:17,Renata Silveira,9807661.7,2.0,True,2024-12-02 10:22:22,28412
113,Indústria Infinity EIRELI,Negócio Perdido,2024-11-17 23:18:28,Beatriz Nogueira,3681354.6,3.0,False,2024-12-02 13:54:03,88362
114,Serviços Alfa Ltda,Negócio Perdido,2024-12-02 00:32:59,Eduardo Freitas,10249607.15,1.0,True,2024-12-02 14:59:35,75184
115,Comercial Globaltech EIRELI,Negociações Frias,2024-11-28 00:31:23,Renata Silveira,1754725.64,1.0,True,2024-12-02 18:09:51,94147
116,Comercial Alfa EIRELI,Negócio Perdido,2024-11-29 10:05:46,Eduardo Freitas,5212138.1,4.0,False,2024-12-02 19:47:02,39065
117,Grupo Nova Era Comércio,Negócio Perdido,2024-11-20 10:52:52,Lívia Martins,8162119.92,3.0,True,2024-12-02 20:32:51,93426
118,Indústria Verde Vida Comércio,Negociações Frias,2024-11-27 16:14:29,Eduardo Freitas,5756565.81,4.0,True,2024-12-02 23:46:32,54407
119,Consultoria Verde Vida EIRELI,Negócio Perdido,2024-11-13 10:59:44,Lívia Martins,10007250.71,0.0,False,2024-12-02 23:47:13,17606
120,Comercial Globaltech ME,Negócio Perdido,2024-11-22 18:34:29,Carlos Azevedo,8976841.38,4.0,False,2024-12-03 00:00:22,48039
121,Comercial Alfa Ltda,Negociações Frias,2024-11-15 02:03:20,Renata Silveira,6355948.58,4.0,True,2024-12-03 00:28:13,119127
122,Serviços Alfa Comércio,Negócio Perdido,2024-11-20 19:00:54,Beatriz Nogueira,6965310.77,2.0,True,2024-12-03 01:59:19,16680
123,Comercial Alfa EIRELI,Negócio Perdido,2024-11-23 01:53:20,Renata Silveira,4042865.85,5.0,True,2024-12-03 02:51:00,77368
124,Consultoria Alfa Ltda,Negócio Perdido,2024-11-18 00:51:39,Lívia Martins,11165480.47,1.0,True,2024-12-03 02:52:58,98283
125,Indústria Globaltech Ltda,Negociações Frias,2024-11-22 06:35:56,Beatriz Nogueira,9820519.41,2.0,True,2024-12-03 02:59:36,20904
126,Comercial Verde Vida Comércio,Negociações Frias,2024-11-17 08:37:13,João Pedrosa,11610065.72,3.0,False,2024-12-03 12:32:32,104419
127,Comercial Alfa EIRELI,Negócio Perdido,2024-11-22 16:45:43,Carlos Azevedo,5555512.32,5.0,True,2024-12-03 14:43:25,63138
128,Consultoria Solaris EIRELI,Negócio Perdido,2024-11-29 13:28:25,João Pedrosa,5840214.5,4.0,False,2024-12-03 15:48:29,32796
129,Comercial Alfa Comércio,Pré Qualificação,2024-12-03 16:04:19,Lívia Martins,5866918.41,1.0,True,2024-12-03 18:27:04,56299
130,Grupo Verde Vida ME,Negócio Perdido,2024-11-19 13:01:52,Lívia Martins,4473726.22,2.0,False,2024-12-03 19:10:09,48234
131,Consultoria Infinity ME,Entrada,2024-11-27 01:26:19,Beatriz Nogueira,8547767.34,0.0,True,2024-12-03 23:10:21,36747
132,Grupo Globaltech Ltda,Negociações Frias,2024-11-18 13:40:47,Eduardo Freitas,3015147.97,5.0,True,2024-12-04 02:50:59,12664
133,Comercial Alfa Comércio,Negócio Perdido,2024-11-14 23:55:13,Beatriz Nogueira,7525678.04,0.0,True,2024-12-04 03:09:13,17135
134,Indústria Nova Era ME,Negociações Frias,2024-11-30 08:43:18,Eduardo Freitas,8949107.22,0.0,False,2024-12-04 03:14:28,17221
135,Consultoria Alfa EIRELI,Negociações Frias,2024-11-22 07:40:20,Carlos Azevedo,2350295.53,5.0,False,2024-12-04 04:42:59,81833
136,Grupo Nova Era Ltda,Negociações Frias,2024-11-22 17:36:59,Carlos Azevedo,3601891.21,1.0,True,2024-12-04 04:47:14,40426
137,Consultoria Solaris ME,Negociações Frias,2024-11-28 13:23:14,João Pedrosa,11454980.44,4.0,False,2024-12-04 07:25:24,79298
138,Comercial Globaltech Ltda,Negócio Ganho,2024-11-17 03:51:14,Marina Costa,4641689.51,2.0,False,2024-12-04 09:26:16,74784
139,Grupo Verde Vida ME,Negócio Perdido,2024-11-16 20:24:59,Marina Costa,10442346.67,1.0,True,2024-12-04 13:21:19,98010
140,Indústria Infinity Comércio,Negócio Perdido,2024-11-26 11:48:38,Renata Silveira,3719317.33,5.0,True,2024-12-04 14:45:35,20194
141,Serviços Infinity Comércio,Negociações Frias,2024-11-13 12:51:58,Marina Costa,7083499.62,3.0,True,2024-12-04 16:54:13,19589
142,Distribuidora Nova Era EIRELI,Negociações Frias,2024-11-18 01:39:20,Carlos Azevedo,4166175.45,3.0,False,2024-12-04 21:24:28,65308
143,Serviços Globaltech EIRELI,Negociações Frias,2024-11-19 23:38:13,Lívia Martins,11746901.92,4.0,True,2024-12-04 21:59:36,111497
144,Comercial Infinity EIRELI,Negócio Perdido,2024-11-13 09:03:23,Beatriz Nogueira,9774521.74,4.0,False,2024-12-04 22:42:47,76217
145,Distribuidora Nova Era S.A.,Negociações Frias,2024-11-24 01:49:50,Carlos Azevedo,8370510.74,3.0,False,2024-12-05 00:35:28,30294
146,Indústria Nova Era EIRELI,Negócio Perdido,2024-11-26 15:32:52,Eduardo Freitas,11255515.43,0.0,False,2024-12-05 00:52:02,78265
147,Comercial Solaris Comércio,Negócio Perdido,2024-11-20 20:39:53,Renata Silveira,11293154.07,0.0,False,2024-12-05 10:59:28,50269
148,Serviços Infinity S.A.,Entrada,2024-12-02 07:12:03,Lívia Martins,9893937.52,4.0,False,2024-12-05 12:08:43,98087
149,Grupo Verde Vida S.A.,Negociações Frias,2024-11-22 08:04:28,Marina Costa,6183396.6,1.0,False,2024-12-05 12:13:25,116607
150,Indústria Verde Vida Ltda,Negociações Frias,2024-11-24 19:33:34,João Pedrosa,2559801.27,3.0,False,2024-12-05 12:35:06,29768
151,Comercial Solaris ME,Negócio Perdido,2024-11-21 04:40:50,Marina Costa,7719022.88,5.0,True,2024-12-05 13:57:45,39436
152,Distribuidora Nova Era S.A.,Entrada,2024-11-18 17:14:52,Renata Silveira,1559610.92,1.0,True,2024-12-05 15:42:41,44605
153,Indústria Solaris S.A.,Pré Qualificação,2024-11-12 16:50:07,Eduardo Freitas,2130139.26,0.0,True,2024-12-05 17:35:22,108901
154,Indústria Alfa ME,Desqualificado,2024-11-26 04:15:04,Carlos Azevedo,9698972.46,4.0,True,2024-12-05 17:42:53,72375
155,Consultoria Alfa Comércio,Negociações Frias,2024-11-25 00:32:31,Renata Silveira,11672461.51,4.0,False,2024-12-06 00:10:26,113246
156,Indústria Alfa Comércio,Negociações Frias,2024-11-30 14:36:47,Renata Silveira,5819805.75,2.0,False,2024-12-06 00:50:50,47612
157,Serviços Alfa S.A.,Negociações Frias,2024-11-21 15:33:52,Lívia Martins,10874285.37,1.0,True,2024-12-06 02:42:37,82857
158,Comercial Infinity ME,Negócio Perdido,2024-11-18 12:47:40,Renata Silveira,7857025.81,3.0,True,2024-12-06 07:47:17,107441
159,Indústria Globaltech ME,Negociações Frias,2024-11-30 09:21:24,Carlos Azevedo,5578875.93,0.0,True,2024-12-06 09:24:45,32865
160,Consultoria Solaris Comércio,Entrada,2024-11-14 01:30:10,Renata Silveira,2067214.07,1.0,False,2024-12-06 09:33:14,31301
161,Consultoria Alfa ME,Negociações Frias,2024-12-06 05:32:44,Carlos Azevedo,2650576.28,5.0,False,2024-12-06 11:48:27,65465
162,Distribuidora Globaltech Ltda,Desqualificado,2024-11-20 05:54:38,Beatriz Nogueira,3350409.52,2.0,True,2024-12-06 12:48:49,99846
163,Comercial Infinity S.A.,Desqualificado,2024-11-28 23:47:25,João Pedrosa,2279448.85,2.0,False,2024-12-06 15:58:55,106227
164,Consultoria Nova Era Ltda,Negociações Frias,2024-11-14 03:15:18,Beatriz Nogueira,11740059.03,3.0,True,2024-12-06 17:18:44,37090
165,Grupo Solaris EIRELI,Negociações Frias,2024-11-20 12:03:49,Renata Silveira,11119322.28,3.0,True,2024-12-06 18:42:05,35524
166,Distribuidora Nova Era EIRELI,Negociações Frias,2024-11-30 07:34:21,João Pedrosa,7455313.6,0.0,False,2024-12-06 19:19:20,44112
167,Comercial Nova Era Comércio,Negociações Frias,2024-11-17 11:23:16,Carlos Azevedo,8805733.14,0.0,False,2024-12-06 20:02:54,17780
168,Comercial Globaltech Ltda,Negociações Frias,2024-11-26 08:49:34,Renata Silveira,11640572.07,0.0,False,2024-12-07 02:55:51,41035
169,Indústria Infinity S.A.,Desqualificado,2024-11-17 14:01:56,Beatriz Nogueira,11341504.11,2.0,False,2024-12-07 03:18:03,102833
170,Distribuidora Nova Era ME,Negócio Perdido,2024-12-02 19:35:58,Carlos Azevedo,9947553.52,2.0,True,2024-12-07 04:55:03,108166
171,Indústria Verde Vida Comércio,Negociações Frias,2024-12-06 00:18:53,Marina Costa,7428742.72,3.0,False,2024-12-07 05:02:56,97642
172,Consultoria Infinity Ltda,Negociações Frias,2024-11-21 05:42:39,Lívia Martins,2035813.96,0.0,True,2024-12-07 07:04:09,36528
173,Distribuidora Verde Vida Comércio,Negócio Perdido,2024-11-21 20:45:29,Lívia Martins,4225342.9,2.0,False,2024-12-07 07:33:34,57055
174,Comercial Infinity EIRELI,Pré Qualificação,2024-12-04 12:49:17,Lívia Martins,7591536.26,4.0,True,2024-12-07 08:14:23,90485
175,Grupo Alfa Ltda,Negociações Frias,2024-11-13 20:50:50,Lívia Martins,8722833.65,2.0,False,2024-12-07 08:19:29,44285
176,Grupo Solaris Ltda,Negociações Frias,2024-11-15 20:05:54,Renata Silveira,9267981.97,5.0,True,2024-12-07 11:24:46,28021
177,Serviços Nova Era ME,Negócio Perdido,2024-11-26 00:58:36,Renata Silveira,8499978.42,4.0,True,2024-12-07 12:51:57,87904
178,Indústria Nova Era Ltda,Negociações Frias,2024-12-03 20:56:01,Beatriz Nogueira,10282867.22,2.0,True,2024-12-07 13:16:41,36173
179,Comercial Alfa S.A.,Negociações Frias,2024-11-15 07:20:01,Carlos Azevedo,6066653.17,3.0,False,2024-12-07 14:47:27,80794
180,Serviços Alfa S.A.,Negociações Frias,2024-11-30 11:02:10,Eduardo Freitas,7161352.76,5.0,True,2024-12-07 20:25:51,70046
181,Grupo Nova Era Ltda,Negociações Frias,2024-12-06 16:12:58,Marina Costa,3486289.78,3.0,True,2024-12-07 21:09:53,95711
182,Distribuidora Globaltech S.A.,Desqualificado,2024-11-25 02:34:39,Carlos Azevedo,7180902.79,1.0,False,2024-12-08 00:09:48,43985
183,Consultoria Solaris Ltda,Negócio Perdido,2024-12-05 14:55:54,Lívia Martins,8966435.5,0.0,True,2024-12-08 00:58:34,67359
184,Comercial Verde Vida ME,Negociações Frias,2024-11-19 10:01:27,Lívia Martins,8987073.93,2.0,True,2024-12-08 01:01:40,72651
185,Consultoria Nova Era Ltda,Negociações Frias,2024-11-20 15:59:34,Carlos Azevedo,9477581.87,1.0,False,2024-12-08 02:03:51,78698
